"","gmt","iata_code","city_iata_code","icao_code","country_iso2","geoname_id","latitude","longitude","airport_name","country_name","phone_number","timezone"
"51","9","KOX","KOX","WABN","ID","6301182","-4.716667","136.41667","Kokonao","Indonesia",NA,"Asia/Jayapura"
"52","7","KRC","KRC","WIPH","ID","7731186","-1.716667","101.25","Kerinci","Indonesia",NA,"Asia/Jakarta"
"53","7","KTG","KTG","WIOK","ID","6301240","-1.833333","109.98333","Ketapang","Indonesia",NA,"Asia/Pontianak"
"54","7","KWB","KWB","WICM","ID","7731199","-5.833333","110.5","Karimunjawa","Indonesia",NA,"Asia/Jakarta"
"55","8","LBJ","LBJ","WRKO","ID",NA,"-8.516667","119.88333","Mutiara","Indonesia",NA,"Asia/Makassar"
"56","8","LBW","LBW","WRLB","ID","6301273","0.583333","115.166664","Long Bawan","Indonesia",NA,"Asia/Makassar"
"57","9","LHI","LHI","WAJL","ID","7731220","-3.133333","139.9","Lereh","Indonesia",NA,"Asia/Jayapura"
"58","9","LII","LII","WAJM","ID","7731224","-3.733333","137.96666","Mulia","Indonesia",NA,"Asia/Jayapura"
"59","8","LKA","LKA","WRKL","ID","6301269","-8.35","122.98333","Larantuka","Indonesia",NA,"Asia/Makassar"
"60","8","LOP","LOP","WADL","ID","8051259","-8.757322","116.27667","Lombok International","Indonesia",NA,"Asia/Makassar"
"61","8","LPU","LPU","WRLP","ID","7731237","1.707091","114.969986","Long Apung","Indonesia",NA,"Asia/Makassar"
"62","7","LSW","LSW","WITM","ID","6301250","5.166667","97.166664","Lhoksumawe","Indonesia",NA,"Asia/Jakarta"
"63","7","LSX","LSX","WITL","ID","7730237","5.066667","97.316666","Lhok Sukon","Indonesia",NA,"Asia/Jakarta"
"64","9","LUV","LUV","WAPL","ID","7668669","-5.666667","132.71666","Langgur","Indonesia",NA,"Asia/Jayapura"
"65","8","LUW","LUW","WAMW","ID","6301198","-0.933333","122.78333","Bubung / Aminuddin Amir","Indonesia",NA,"Asia/Makassar"
"66","9","MAL","MAL","WAPE","ID","7731255","-1.833333","125.916664","Mangole","Indonesia",NA,"Asia/Jayapura"
"67","8","MDC","MDC","WAMM","ID","6301195","1.543533","124.92203","Samratulangi","Indonesia",NA,"Asia/Makassar"
"68","9","MDP","MDP","WAKD","ID","7731261","-5.833333","140.83333","Mindiptana","Indonesia",NA,"Asia/Jayapura"
"69","7","MEQ","MEQ","WITC","ID","6301249","4.15","96.11667","Seunagan","Indonesia",NA,"Asia/Jakarta"
"70","7","MES","MES","WIMM","ID","6301237","3.561111","98.672775","Polonia","Indonesia",NA,"Asia/Jakarta"
"71","9","MKQ","MKQ","WAKK","ID","6301188","-8.516667","140.5","Mopah","Indonesia",NA,"Asia/Jayapura"
"72","9","MKW","MKW","WASR","ID","6301207","-0.893056","134.05278","Rendani","Indonesia",NA,"Asia/Jayapura"
"73","7","MLG","MLG","WIAS","ID",NA,"-7.930615","112.71099","Abdul Rahman Saleh","Indonesia",NA,"Asia/Jakarta"
"74","8","MNA","MNA","WAMN","ID","7731281","4.05","126.7","Melangguane","Indonesia",NA,"Asia/Makassar"
"75","8","MOF","MOF","WRKC","ID","1635815","-8.633333","122.25","Waioti","Indonesia",NA,"Asia/Makassar"
"76","7","MPC","MPC","WIPU","ID","7731287","-2.55","101.1","Muko-Muko","Indonesia",NA,"Asia/Jakarta"
"77","7","MWK","MWK","WIOM","ID","7668673","3.3","106.26667","Matak","Indonesia",NA,"Asia/Jakarta"
"78","8","MXB","MXB","WAWM","ID","7731311","-2.333333","120.333336","Masamba","Indonesia",NA,"Asia/Makassar"
"79","8","NAH","NAH","WAMH","ID","6301192","3.716667","125.36667","Naha","Indonesia",NA,"Asia/Makassar"
"80","9","NAM","NAM","WAPR","ID","6301204","-3.3","127.1","Namlea","Indonesia",NA,"Asia/Jayapura"
"81","9","NBX","NBX","WABI","ID","6301181","-3.366667","135.43333","Nabire","Indonesia",NA,"Asia/Jayapura"
"82","8","NNX","NNX","WRLF","ID","7668678","4.15","117.65","Nunukan","Indonesia",NA,"Asia/Makassar"
"83","8","NPO","NPO","WIOG","ID","7730235","-0.333333","111.73333","Nangapinoh","Indonesia",NA,"Asia/Makassar"
"84","9","NRE","NRE","WAPG","ID","7731343","-3.816667","126.71667","Namrole","Indonesia",NA,"Asia/Jayapura"
"85","9","NTI","NTI","WASB","ID","7731349","-2.333333","133.25","Bintuni","Indonesia",NA,"Asia/Jayapura"
"86","7","NTX","NTX","WION","ID","6301241","3.95","108.38333","Natuna Ranai","Indonesia",NA,"Asia/Jakarta"
"87","9","OKL","OKL","WAJO","ID","7731363","-5.1","140.66667","Oksibil","Indonesia",NA,"Asia/Jayapura"
"88","9","OKQ","OKQ","WAKO","ID","7731364","-8.1","139.7","Okaba","Indonesia",NA,"Asia/Jayapura"
"89","9","ONI","ONI","WABD","ID","7731368","-3.333333","135.5","Moanamani","Indonesia",NA,"Asia/Jayapura"
"90","9","OTI","OTI","WAMR","ID","7730231","2.833333","128.5","Pitu","Indonesia",NA,"Asia/Jayapura"
"91","7","PCB","PCB","WIHP","ID","7668675","-6.35","106.76667","Pondok Cabe","Indonesia",NA,"Asia/Jakarta"
"92","7","PDG","PDG","WIMG","ID","6301236","-0.786667","100.280556","Minangkabau International Airport","Indonesia",NA,"Asia/Jakarta"
"93","7","PDO","PDO","WIPQ","ID","7730236","-3.283333","103.86667","Pendopo","Indonesia",NA,"Asia/Jakarta"
"94","7","PGK","PGK","WIKK","ID","6301232","-2.164017","106.13707","Pangkalpinang","Indonesia",NA,"Asia/Jakarta"
"95","7","PKN","PKN","WRBI","ID","6301263","-2.7","111.666664","Pangkalanbuun","Indonesia",NA,"Asia/Pontianak"
"96","7","PKU","PKU","WIBB","ID","6301221","0.464563","101.446884","Sultan Syarif Kasim Ii","Indonesia",NA,"Asia/Jakarta"
"97","7","PKY","PKY","WRBP","ID","7731403","-2.223958","113.945786","Cilik Riwut (Tjilik Riwoet)","Indonesia",NA,"Asia/Pontianak"
"98","7","PLM","PLM","WIPP","ID","6301247","-2.900146","104.69861","Mahmud Badaruddin Ii","Indonesia",NA,"Asia/Jakarta"
"99","8","PLW","PLW","WAML","ID","6301194","-0.917945","119.90671","Mutiara","Indonesia",NA,"Asia/Makassar"
"100","7","PNK","PNK","WIOO","ID","6301242","-0.14735","109.40533","Supadio","Indonesia",NA,"Asia/Pontianak"
"101","7","PPR","PPR","WIDE","ID","7731408","0.833333","100.36667","Pasir Pangarayan","Indonesia",NA,"Asia/Jakarta"
"102","8","PSJ","PSJ","WAMP","ID","6301196","-1.383333","120.73333","Poso","Indonesia",NA,"Asia/Makassar"
"103","8","PSU","PSU","WIOP","ID","7668674","0.833333","112.933334","Putussibau","Indonesia",NA,"Asia/Makassar"
"104","8","RAQ","RAQ","WAWR","ID","7731453","-4.916667","122.583336","Sugimanuru","Indonesia",NA,"Asia/Makassar"
"105","9","RDE","RDE","WASM","ID","7731459","-1.583333","133.33333","Merdey","Indonesia",NA,"Asia/Jayapura"
"106","7","RGT","RGT","WIPR","ID","6301248","-0.4","102.55","Japura","Indonesia",NA,"Asia/Jakarta"
"107","7","RKI","RKI","WIBR","ID","7731464","-0.95","100.75","Rokot","Indonesia",NA,"Asia/Jakarta"
"108","9","RSK","RSK","WASC","ID","7731470","-1.5","134.18333","Ransiki","Indonesia",NA,"Asia/Jayapura"
"109","8","SAU","SAU","WATS","ID","8260767","-10.483333","121.9","Sawu","Indonesia",NA,"Asia/Makassar"
"110","7","SBG","SBG","WITB","ID","6301216","5.55","95.333336","Maimun Saleh","Indonesia",NA,"Asia/Jakarta"
"111","9","SEH","SEH","WAJS","ID","7731485","-3.433333","140.81667","Senggeh","Indonesia",NA,"Asia/Jayapura"
"112","7","SEQ","SEQ","WIBS","ID","7731486","-0.8","114.066666","Sungai Pakning","Indonesia",NA,"Asia/Jakarta"
"113","8","SGQ","SGQ","WRLA","ID","7731490","0.5","117.333336","Sanggata","Indonesia",NA,"Asia/Makassar"
"114","7","SIQ","SIQ","WIKS","ID","6301234","-0.5","104.416664","Dabo","Indonesia",NA,"Asia/Jakarta"
"115","7","SIW","SIW","WIMP","ID","8260771","2.67","98.93","Sibisa","Indonesia",NA,"Asia/Jakarta"
"116","7","SMQ","SMQ","WAOS","ID","7731499","-3.083333","113.05","Sampit","Indonesia",NA,"Asia/Pontianak"
"117","7","SOC","SOC","WRSQ","ID","6301286","-7.51583","110.75667","Adi Sumarmo","Indonesia",NA,"Asia/Jakarta"
"118","9","SOQ","SOQ","WASS","ID",NA,"-0.890214","131.29059","Jefman","Indonesia",NA,"Asia/Jayapura"
"119","8","SQG","SQG","WIOS","ID","6301243","0.083333","111.583336","Sintang","Indonesia",NA,"Asia/Makassar"
"120","9","SQN","SQN","WAPN","ID","6301202","-2.2","125.916664","Sanana","Indonesia",NA,"Asia/Jayapura"
"121","8","SQR","SQR","WAWS","ID","7731506","-3.166667","122.666664","Inco Soroako Waws","Indonesia",NA,"Asia/Makassar"
"122","7","SRG","SRG","WIIS","ID","6301228","-6.979155","110.37855","Achmad Yani","Indonesia",NA,"Asia/Jakarta"
"123","8","SRI","SRI","WALS","ID","1629001","-0.5","117.15","Samarinda","Indonesia",NA,"Asia/Makassar"
"124","7","SUB","SUB","WRSJ","ID","6301284","-7.38387","112.77724","Juanda","Indonesia",NA,"Asia/Jakarta"
"125","7","SUP","SUP","WART","ID","7731517","-7.066667","113.933334","Trunojoyo","Indonesia",NA,"Asia/Jakarta"
"126","8","SWQ","SWQ","WADS","ID","6301282","-8.5","117.416664","Brang Bidji","Indonesia",NA,"Asia/Makassar"
"127","9","SXK","SXK","WAPI","ID","6301201","-7.966667","131.31667","Saumlaki","Indonesia",NA,"Asia/Jayapura"
"128","9","TIM","TIM","WABP","ID","7668664","-4.525666","136.88748","Timika","Indonesia",NA,"Asia/Jayapura"
"129","7","TJB","TJB","WIBT","ID","7731546","2.916667","99.73333","Tanjung Balai","Indonesia",NA,"Asia/Jakarta"
"130","7","TJG","TJG","WAON","ID","7730232","-1.4","103.96667","Tanjung Warukin","Indonesia",NA,"Asia/Jakarta"
"131","7","TJQ","TJQ","WIKD","ID","6301231","-2.75","107.65","Bulutumbang","Indonesia",NA,"Asia/Jakarta"
"132","8","TJS","TJS","WALG","ID","7668665","2.85","117.36667","Tanjung Selor","Indonesia",NA,"Asia/Makassar"
"133","7","TKG","TKG","WIIT","ID","6301229","-5.242783","105.1758","Branti","Indonesia",NA,"Asia/Jakarta"
"134","9","TMH","TMH","WAKT","ID","6301189","-6.083333","140.26666","Tanahmerah","Indonesia",NA,"Asia/Jayapura"
"135","8","TNB","TNB","WRLH","ID","7731555","-1.916667","116.2","Tanah Grogot","Indonesia",NA,"Asia/Makassar"
"136","7","TNJ","TNJ","WIKN","ID","6301233","0.919167","104.53611","Kidjang","Indonesia",NA,"Asia/Jakarta"
"137","7","TPK","TPK","WITA","ID","7731559","3.266667","97.183334","Tapaktuan","Indonesia",NA,"Asia/Jakarta"
"138","8","TRK","TRK","WALR","ID","6301277","3.327222","117.56528","Juwata","Indonesia",NA,"Asia/Makassar"
"139","8","TSX","TSX","WALT","ID","7731564","-0.083333","117.433334","Tanjung Santan","Indonesia",NA,"Asia/Makassar"
"140","7","TSY","TSY","WIAM","ID","6301218","-7.3","108.2","Tasikmalaya","Indonesia",NA,"Asia/Jakarta"
"141","9","TTE","TTE","WAMT","ID","6301197","0.8","127.4","Babullah","Indonesia",NA,"Asia/Jayapura"
"142","9","TXM","TXM","WAST","ID","7731567","-1.433333","132.01666","Teminabuan","Indonesia",NA,"Asia/Jayapura"
"143","9","UBR","UBR","WAJU","ID","7731573","-3.666667","140.85","Ubrub","Indonesia",NA,"Asia/Jayapura"
"144","8","UOL","UOL","WAMQ","ID","7731588","1.166667","121.433334","Buol","Indonesia",NA,"Asia/Makassar"
"145","8","UPG","UPG","WAAA","ID","6301177","-5.058312","119.54589","Hasanudin","Indonesia",NA,"Asia/Makassar"
"146","9","WAR","WAR","WAJR","ID","7731610","-3.116667","140.88333","Waris","Indonesia",NA,"Asia/Jayapura"
"147","9","WET","WET","WABG","ID","7731616","-4.166667","135.83333","Wagethe","Indonesia",NA,"Asia/Jayapura"
"148","8","WGP","WGP","WRRW","ID","6301283","-9.666667","120.3","Waingapu","Indonesia",NA,"Asia/Makassar"
"149","9","WMX","WMX","WAJW","ID","6301187","-4.116667","138.93333","Wamena","Indonesia",NA,"Asia/Jayapura"
"150","9","WSR","WSR","WASW","ID","7731628","-2.716667","134.5","Wasior","Indonesia",NA,"Asia/Jayapura"
