"","flight_date","flight_status","departure.airport","departure.timezone","departure.iata","departure.icao","departure.terminal","departure.gate","departure.delay","departure.scheduled","departure.estimated","departure.actual","departure.estimated_runway","departure.actual_runway","arrival.airport","arrival.timezone","arrival.iata","arrival.icao","arrival.terminal","arrival.gate","arrival.baggage","arrival.delay","arrival.scheduled","arrival.estimated","arrival.actual","arrival.estimated_runway","arrival.actual_runway","airline.name","airline.iata","airline.icao","flight.number","flight.iata","flight.icao","flight.codeshared","aircraft","live","flight.codeshared.airline_name","flight.codeshared.airline_iata","flight.codeshared.airline_icao","flight.codeshared.flight_number","flight.codeshared.flight_iata","flight.codeshared.flight_icao","aircraft.registration","aircraft.iata","aircraft.icao","aircraft.icao24"
"2574","2019-12-07","landed","Hong Kong International","Asia/Hong_Kong","HKG","VHHH","1","69",12,"2019-12-07T10:00:00+00:00","2019-12-07T10:00:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"4",NA,"2019-12-07T15:05:00+00:00","2019-12-07T15:05:00+00:00","2019-12-07T14:24:00+00:00","2019-12-07T14:24:00+00:00","2019-12-07T14:24:00+00:00","American Airlines","AA","AAL","8915","AA8915","AAL8915",NA,NA,NA,"cathay pacific","cx","cpa","785","cx785","cpa785",NA,NA,NA,NA
"2575","2019-12-07","landed","Hong Kong International","Asia/Hong_Kong","HKG","VHHH","1","69",12,"2019-12-07T10:00:00+00:00","2019-12-07T10:00:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"4",NA,"2019-12-07T15:05:00+00:00","2019-12-07T15:05:00+00:00","2019-12-07T14:24:00+00:00","2019-12-07T14:24:00+00:00","2019-12-07T14:24:00+00:00","JAL","JL","JAL","7931","JL7931","JAL7931",NA,NA,NA,"cathay pacific","cx","cpa","785","cx785","cpa785",NA,NA,NA,NA
"2576","2019-12-07","landed","Hong Kong International","Asia/Hong_Kong","HKG","VHHH","1","69",12,"2019-12-07T10:00:00+00:00","2019-12-07T10:00:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"4",NA,"2019-12-07T15:05:00+00:00","2019-12-07T15:05:00+00:00","2019-12-07T14:24:00+00:00","2019-12-07T14:24:00+00:00","2019-12-07T14:24:00+00:00","Cathay Pacific","CX","CPA","785","CX785","CPA785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2577","2019-12-07","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,8,"2019-12-07T13:30:00+00:00","2019-12-07T13:30:00+00:00","2019-12-07T13:38:00+00:00","2019-12-07T13:38:00+00:00","2019-12-07T13:38:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"5",NA,"2019-12-07T15:15:00+00:00","2019-12-07T15:15:00+00:00","2019-12-07T15:14:00+00:00","2019-12-07T15:14:00+00:00","2019-12-07T15:14:00+00:00","Lion Air","JT","LNI","925","JT925","LNI925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2578","2019-12-07","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,14,"2019-12-07T13:35:00+00:00","2019-12-07T13:35:00+00:00","2019-12-07T13:49:00+00:00","2019-12-07T13:49:00+00:00","2019-12-07T13:49:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"1",1,"2019-12-07T15:20:00+00:00","2019-12-07T15:20:00+00:00","2019-12-07T15:21:00+00:00","2019-12-07T15:21:00+00:00","2019-12-07T15:21:00+00:00","Garuda Indonesia","GA","GIA","439","GA439","GIA439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2579","2019-12-07","landed","Halim Perdana Kusuma","Asia/Jakarta","HLP","WIHH",NA,"06",7,"2019-12-07T13:40:00+00:00","2019-12-07T13:40:00+00:00","2019-12-07T13:47:00+00:00","2019-12-07T13:47:00+00:00","2019-12-07T13:47:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"4",NA,"2019-12-07T16:40:00+00:00","2019-12-07T16:40:00+00:00","2019-12-07T16:13:00+00:00","2019-12-07T16:13:00+00:00","2019-12-07T16:13:00+00:00","Citilink","QG","CTV","194","QG194","CTV194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2580","2019-12-07","landed","Abdul Rahman Saleh","Asia/Jakarta","MLG","WARA",NA,NA,38,"2019-12-07T14:15:00+00:00","2019-12-07T14:15:00+00:00","2019-12-07T14:52:00+00:00","2019-12-07T14:52:00+00:00","2019-12-07T14:52:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"5",24,"2019-12-07T16:20:00+00:00","2019-12-07T16:20:00+00:00","2019-12-07T16:44:00+00:00","2019-12-07T16:44:00+00:00","2019-12-07T16:44:00+00:00","Wings Air (Indonesia)","IW","WON","1841","IW1841","WON1841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2581","2019-12-07","landed","Mutiara","Asia/Makassar","LBJ","WATO",NA,NA,7,"2019-12-07T08:40:00+00:00","2019-12-07T08:40:00+00:00","2019-12-07T08:46:00+00:00","2019-12-07T08:46:00+00:00","2019-12-07T08:46:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"5",12,"2019-12-07T10:00:00+00:00","2019-12-07T10:00:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","2019-12-07T10:11:00+00:00","Wings Air (Indonesia)","IW","WON","1831","IW1831","WON1831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2582","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","3","U13",20,"2019-12-07T07:05:00+00:00","2019-12-07T07:05:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"1",NA,"2019-12-07T10:10:00+00:00","2019-12-07T10:10:00+00:00","2019-12-07T10:04:00+00:00","2019-12-07T10:04:00+00:00","2019-12-07T10:04:00+00:00","Turkish Airlines","TK","THY","9368","TK9368","THY9368",NA,NA,NA,"garuda indonesia","ga","gia","438","ga438","gia438",NA,NA,NA,NA
"2583","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","3","U13",20,"2019-12-07T07:05:00+00:00","2019-12-07T07:05:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"1",NA,"2019-12-07T10:10:00+00:00","2019-12-07T10:10:00+00:00","2019-12-07T10:04:00+00:00","2019-12-07T10:04:00+00:00","2019-12-07T10:04:00+00:00","Garuda Indonesia","GA","GIA","438","GA438","GIA438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
