"","iata","X","gmt","city_iata_code","icao_code","country_iso2","geoname_id","latitude","longitude","airport_name","country_name","phone_number","timezone"
"46","SOC",117,7,"SOC","WRSQ","ID",6301286,-7.51583,110.75667,"Adi Sumarmo","Indonesia",NA,"Asia/Jakarta"
"47","SOQ",118,9,"SOQ","WASS","ID",NA,-0.890214,131.29059,"Jefman","Indonesia",NA,"Asia/Jayapura"
"48","SQG",119,8,"SQG","WIOS","ID",6301243,0.083333,111.583336,"Sintang","Indonesia",NA,"Asia/Makassar"
"49","SRG",122,7,"SRG","WIIS","ID",6301228,-6.979155,110.37855,"Achmad Yani","Indonesia",NA,"Asia/Jakarta"
"50","SUB",124,7,"SUB","WRSJ","ID",6301284,-7.38387,112.77724,"Juanda","Indonesia",NA,"Asia/Jakarta"
"51","SUP",125,7,"SUP","WART","ID",7731517,-7.066667,113.933334,"Trunojoyo","Indonesia",NA,"Asia/Jakarta"
"52","SWQ",126,8,"SWQ","WADS","ID",6301282,-8.5,117.416664,"Brang Bidji","Indonesia",NA,"Asia/Makassar"
"53","TIM",128,9,"TIM","WABP","ID",7668664,-4.525666,136.88748,"Timika","Indonesia",NA,"Asia/Jayapura"
"54","TJQ",131,7,"TJQ","WIKD","ID",6301231,-2.75,107.65,"Bulutumbang","Indonesia",NA,"Asia/Jakarta"
"55","TKG",133,7,"TKG","WIIT","ID",6301229,-5.242783,105.1758,"Branti","Indonesia",NA,"Asia/Jakarta"
"56","TNJ",136,7,"TNJ","WIKN","ID",6301233,0.919167,104.53611,"Kidjang","Indonesia",NA,"Asia/Jakarta"
"57","TRK",138,8,"TRK","WALR","ID",6301277,3.327222,117.56528,"Juwata","Indonesia",NA,"Asia/Makassar"
"58","TTE",141,9,"TTE","WAMT","ID",6301197,0.8,127.4,"Babullah","Indonesia",NA,"Asia/Jayapura"
"59","UPG",145,8,"UPG","WAAA","ID",6301177,-5.058312,119.54589,"Hasanudin","Indonesia",NA,"Asia/Makassar"
"60","WGP",148,8,"WGP","WRRW","ID",6301283,-9.666667,120.3,"Waingapu","Indonesia",NA,"Asia/Makassar"
"61","WMX",149,9,"WMX","WAJW","ID",6301187,-4.116667,138.93333,"Wamena","Indonesia",NA,"Asia/Jayapura"
"62","NAM",80,9,"NAM","WAPR","ID",6301204,-3.3,127.1,"Namlea","Indonesia",NA,"Asia/Jayapura"
"63","SXK",127,9,"SXK","WAPI","ID",6301201,-7.966667,131.31667,"Saumlaki","Indonesia",NA,"Asia/Jayapura"
"64","NTX",86,7,"NTX","WION","ID",6301241,3.95,108.38333,"Natuna Ranai","Indonesia",NA,"Asia/Jakarta"
"65","SMQ",116,7,"SMQ","WAOS","ID",7731499,-3.083333,113.05,"Sampit","Indonesia",NA,"Asia/Pontianak"
"66","SRI",123,8,"SRI","WALS","ID",1629001,-0.5,117.15,"Samarinda","Indonesia",NA,"Asia/Makassar"
"67","TSY",140,7,"TSY","WIAM","ID",6301218,-7.3,108.2,"Tasikmalaya","Indonesia",NA,"Asia/Jakarta"
"68","LUW",65,8,"LUW","WAMW","ID",6301198,-0.933333,122.78333,"Bubung / Aminuddin Amir","Indonesia",NA,"Asia/Makassar"
"69","MNA",74,8,"MNA","WAMN","ID",7731281,4.05,126.7,"Melangguane","Indonesia",NA,"Asia/Makassar"
"70","PSU",103,8,"PSU","WIOP","ID",7668674,0.833333,112.933334,"Putussibau","Indonesia",NA,"Asia/Makassar"
"71","OTI",90,9,"OTI","WAMR","ID",7730231,2.833333,128.5,"Pitu","Indonesia",NA,"Asia/Jayapura"
"72","PSJ",102,8,"PSJ","WAMP","ID",6301196,-1.383333,120.73333,"Poso","Indonesia",NA,"Asia/Makassar"
"73","RAQ",104,8,"RAQ","WAWR","ID",7731453,-4.916667,122.583336,"Sugimanuru","Indonesia",NA,"Asia/Makassar"
